,fecha_evento,tiempo_cmt,region,lat_cmt,lon_cmt,depth_cmt,id_evento,exp_cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento_sismico,strike_1,dip_1,rake_1,strike_2,dip_2,rake_2,Mw_cmt
60,2018/03/16,09:25:01.7,SOUTH SANDWICH ISLANDS R,-56.48,-25.73,10.0,C201803160925A,24,1.400,-0.139,-1.260,0.125,0.540,0.613,0.032,0.025,0.024,0.077,0.061,0.018,1.570,143,38,69,349,55,106.0,5.4
61,2018/03/17,05:50:09.1,SOUTHERN MID-ATLANTIC RI,-47.67,-13.50,10.0,C201803170550A,24,-3.820,-0.121,3.940,-0.468,-0.233,-0.348,0.039,0.039,0.036,0.126,0.106,0.035,3.931,168,44,-101,2,47,-80.0,5.7
62,2018/03/23,07:40:29.5,NORTHERN MID-ATLANTIC RI,12.65,-44.58,10.0,C201803230740A,24,-0.487,-0.500,0.987,-0.024,0.392,-2.790,0.034,0.035,0.038,0.074,0.082,0.037,2.913,277,82,-180,187,90,-8.0,5.6
63,2018/03/24,11:23:32.4,"NEW BRITAIN REGION, P.N.",-5.48,151.48,35.8,C201803241123A,25,4.140,-3.460,-0.679,0.266,0.075,-2.170,0.026,0.019,0.019,0.021,0.022,0.015,4.402,240,43,89,62,47,91.0,6.4
64,2018/03/24,19:58:33.2,SOUTHEAST INDIAN RIDGE  ,-45.83,96.10,10.0,C201803241958A,25,0.069,-1.550,1.480,-0.106,-0.030,-0.537,0.008,0.008,0.008,0.022,0.021,0.008,1.611,125,87,-178,35,88,-3.0,6.1
65,2018/03/25,08:58:11.5,BANDA SEA               ,-7.31,128.50,149.4,C201803250858A,24,4.920,-0.004,-4.910,0.302,-0.619,0.967,0.037,0.047,0.052,0.037,0.044,0.049,5.054,351,41,93,167,49,87.0,5.7
66,2018/03/25,14:28:34.2,SANTIAGO DEL ESTERO PROV,-26.77,-63.33,555.3,C201803251428A,24,-3.040,0.287,2.760,-0.475,0.861,-0.433,0.062,0.093,0.115,0.096,0.106,0.094,3.095,355,36,-81,165,54,-96.0,5.6
67,2018/03/25,14:37:23.3,"SOUTHEAST OF HONSHU, JAP",32.60,140.64,51.1,C201803251437A,24,2.700,0.336,-3.040,0.701,-2.370,-2.740,0.045,0.041,0.045,0.033,0.039,0.035,4.648,62,43,144,180,66,53.0,5.7
68,2018/03/25,20:14:47.2,BANDA SEA               ,-6.66,129.87,171.5,C201803252014A,25,0.327,-3.050,2.730,1.990,4.110,-1.360,0.023,0.026,0.028,0.020,0.020,0.026,5.563,299,35,176,32,88,55.0,6.4
69,2018/03/26,09:51:00.7,"NEW BRITAIN REGION, P.N.",-5.46,151.40,40.0,C201803260951A,26,1.270,-1.290,0.016,0.286,-0.183,-0.445,0.006,0.004,0.005,0.005,0.005,0.004,1.394,241,42,72,85,51,106.0,6.7
70,2018/03/29,18:51:09.0,SOLOMON ISLANDS         ,-9.42,159.56,10.0,C201803291851A,24,-1.040,-1.450,2.500,-2.090,-2.970,0.780,0.038,0.035,0.037,0.069,0.089,0.03,4.231,150,25,-157,38,80,-67.0,5.7
71,2018/03/29,21:25:36.5,"NEW BRITAIN REGION, P.N.",-5.47,151.44,35.0,C201803292125A,26,2.610,-2.440,-0.164,0.653,0.112,-1.080,0.012,0.009,0.009,0.011,0.012,0.007,2.820,245,38,85,71,52,94.0,6.9
72,2018/04/02,05:57:31.8,SOUTH OF FIJI ISLANDS   ,-24.90,-176.60,83.5,C201804020557A,25,-1.310,0.216,1.090,-0.183,-1.420,-1.390,0.015,0.016,0.017,0.012,0.011,0.014,2.330,112,39,-144,353,68,-56.0,6.2
73,2018/04/02,13:40:35.0,SOUTHERN BOLIVIA        ,-20.65,-63.02,562.4,C201804021340A,26,-1.920,-0.135,2.050,0.161,0.827,-0.638,0.008,0.010,0.012,0.009,0.009,0.01,2.243,333,36,-109,176,56,-77.0,6.8
74,2018/04/02,23:23:18.4,EL SALVADOR             ,13.03,-88.82,49.9,C201804022323A,25,-0.006,0.210,-0.204,0.732,-0.726,0.062,0.017,0.017,0.023,0.011,0.014,0.018,1.052,41,11,177,134,89,79.0,5.9
75,2018/04/03,09:14:06.8,"NORTH OF HALMAHERA, INDO",3.02,128.02,71.6,C201804030914A,24,0.545,1.050,-1.600,0.635,-1.370,-1.600,0.034,0.035,0.040,0.026,0.028,0.035,2.609,67,53,169,164,81,38.0,5.5
76,2018/04/05,03:53:41.3,"MINDANAO, PHILIPPINES   ",6.82,126.78,64.4,C201804050353A,25,1.200,0.325,-1.520,0.457,0.222,-0.273,0.009,0.008,0.009,0.009,0.011,0.007,1.494,167,43,57,28,55,117.0,6.0
77,2018/04/05,09:07:59.3,FIJI ISLANDS REGION     ,-18.33,-177.89,507.0,C201804050907A,24,-2.930,3.290,-0.360,-2.200,-6.870,3.050,0.059,0.096,0.097,0.095,0.087,0.088,8.424,272,26,-25,25,79,-114.0,5.9
78,2018/04/05,11:12:10.2,NEAR COAST OF NORTHERN C,-20.38,-70.61,34.9,C201804051112A,24,-0.147,-1.980,2.130,-0.432,-1.340,-0.465,0.032,0.029,0.040,0.020,0.026,0.031,2.495,126,59,176,218,86,31.0,5.5
79,2018/04/05,19:29:16.5,SOUTHERN CALIFORNIA     ,33.84,-119.73,9.9,C201804051929A,24,-0.131,-0.543,0.674,0.531,-0.030,1.410,0.019,0.021,0.023,0.057,0.043,0.02,1.629,349,71,-174,257,84,-19.0,5.4
80,2018/04/06,07:46:58.8,NEAR NORTH COAST OF IRIA,-1.45,138.18,10.0,C201804060746A,24,2.400,-2.130,-0.274,-3.000,1.210,0.685,0.033,0.026,0.026,0.105,0.073,0.02,4.015,105,18,84,291,72,92.0,5.7
81,2018/04/07,05:48:38.9,"NEW GUINEA, PAPUA NEW GU",-5.84,142.49,10.0,C201804070548A,25,2.140,-1.170,-0.971,0.481,0.160,2.770,0.018,0.015,0.016,0.030,0.031,0.013,3.139,342,51,133,107,55,50.0,6.3
82,2018/04/08,16:32:31.3,"WESTERN HONSHU, JAPAN   ",35.26,132.54,7.9,C201804081632A,24,0.058,4.250,-4.310,-0.048,-0.702,-2.120,0.038,0.036,0.045,0.086,0.103,0.035,4.826,58,83,-175,328,85,-7.0,5.7
83,2018/04/09,00:20:55.6,SOUTH SANDWICH ISLANDS R,-57.65,-27.84,239.8,C201804090020A,24,1.290,-3.970,2.680,1.790,-1.380,-0.600,0.040,0.043,0.046,0.041,0.042,0.045,4.171,223,52,15,124,78,142.0,5.7
84,2018/04/10,10:19:34.0,NEAR COAST OF CENTRAL CH,-30.99,-71.56,76.1,C201804101019A,25,-2.100,1.170,0.930,0.662,-1.960,-0.768,0.018,0.016,0.020,0.012,0.014,0.013,2.829,120,25,-119,331,69,-78.0,6.2
85,2018/04/11,07:30:42.1,"NEAR COAST OF OAXACA, ME",15.77,-94.76,41.4,C201804110730A,24,-0.116,-1.980,2.100,0.524,0.129,-0.362,0.025,0.025,0.029,0.039,0.041,0.021,2.143,311,78,-171,219,81,-12.0,5.5
86,2018/04/14,08:17:21.0,SCOTIA SEA              ,-61.39,-36.86,10.0,C201804140817A,23,-1.170,3.610,-2.440,-2.780,-3.940,2.080,0.113,0.092,0.105,0.277,0.323,0.103,6.120,295,36,-12,35,83,-125.0,5.1
87,2018/04/15,19:30:43.2,NORTHERN MOLUCCA SEA    ,1.37,126.87,36.5,C201804151930A,25,0.185,0.985,-1.170,0.251,0.223,-0.758,0.008,0.008,0.010,0.012,0.014,0.008,1.357,152,76,0,242,90,-166.0,6.0
88,2018/04/17,02:52:35.5,"IRIAN JAYA REGION, INDON",-3.53,131.29,10.0,C201804170252A,24,2.510,-1.360,-1.150,-1.060,1.860,1.250,0.037,0.026,0.028,0.069,0.084,0.02,3.298,122,26,70,324,65,99.0,5.6
89,2018/04/18,06:16:02.2,SOUTH OF PANAMA         ,5.16,-82.52,10.0,C201804180616A,24,0.018,0.030,-0.048,0.081,0.147,1.880,0.035,0.025,0.035,0.044,0.053,0.026,1.888,91,85,2,0,88,175.0,5.5
