,fecha_evento,tiempo cmt,lat cmt,lon cmt,depth cmt,id evento,exp cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento sismico,strike 1,dip 1,rake 1,strike 2,dip 2,rake 2
105,2018/01/23,23:09:09.6,-5.78,-12.54,10.0,C201801232309A,24,1.400,-1.170,-0.230,0.203,0.501,-0.037,0.099,0.062,0.053,0.122,0.196,0.032,1.373,281,42,113,71,52,71.0
106,2018/01/23,23:21:22.7,56.60,-148.14,10.0,C201801232321A,24,0.754,-1.170,0.421,-0.117,-0.606,0.488,0.106,0.062,0.060,0.052,0.051,0.033,1.294,253,56,39,139,59,139.0
107,2018/01/24,00:04:48.7,56.55,-148.54,10.0,C201801240004A,24,-2.270,0.220,2.050,0.191,-0.852,0.294,0.033,0.034,0.026,0.135,0.101,0.029,2.349,195,35,-79,2,56,-98.0
108,2018/01/24,07:46:05.3,-20.33,-69.00,105.3,C201801240746A,24,-0.460,-0.171,0.631,0.554,-1.010,0.106,0.022,0.026,0.030,0.015,0.019,0.024,1.287,215,20,-32,336,79,-107.0
109,2018/01/24,10:51:19.1,41.10,142.43,31.0,C201801241051A,25,3.970,0.158,-4.130,1.790,3.320,-1.120,0.033,0.025,0.027,0.031,0.037,0.021,5.642,182,25,70,24,66,99.0
110,2018/01/24,16:46:40.4,55.53,-149.03,10.0,C201801241646A,23,-0.363,-2.000,2.360,-0.026,0.122,2.070,0.144,0.126,0.140,0.206,0.212,0.093,3.009,67,88,0,337,90,178.0
111,2018/01/24,21:58:54.7,56.03,-149.92,11.3,C201801242158A,23,0.018,0.426,-0.444,2.580,1.940,5.110,0.152,0.146,0.126,0.464,0.417,0.126,5.917,359,69,164,95,75,22.0
112,2018/01/25,01:15:58.3,8.25,91.77,10.0,C201801250115A,24,-4.200,-2.540,6.740,0.829,0.142,1.920,0.071,0.063,0.060,0.179,0.143,0.048,5.855,348,49,-125,214,52,-57.0
113,2018/01/25,02:10:34.8,55.54,166.45,11.1,C201801250210A,25,0.856,-2.310,1.450,-1.420,-0.211,-1.530,0.011,0.012,0.011,0.030,0.030,0.01,2.708,23,63,0,113,90,-153.0
114,2018/01/25,03:48:28.7,8.34,91.86,10.0,C201801250348A,24,-1.130,0.014,1.120,-0.297,-0.108,0.214,0.086,0.046,0.050,0.091,0.056,0.024,1.188,178,42,-109,23,50,-73.0
115,2018/01/25,08:03:38.8,5.71,125.93,100.0,C201801250803A,23,-2.110,0.386,1.720,-0.201,-0.586,-1.100,0.088,0.150,0.189,0.089,0.103,0.109,2.315,138,41,-110,343,52,-74.0
116,2018/01/25,10:25:41.8,-8.05,-13.63,10.0,C201801251025A,24,-0.865,0.030,0.835,0.024,-0.202,-0.005,0.013,0.013,0.011,0.043,0.034,0.012,0.874,181,38,-88,358,52,-92.0
117,2018/01/25,10:41:15.0,-17.79,-179.61,639.6,C201801251041A,24,-0.429,0.947,-0.518,-0.269,-6.300,4.500,0.075,0.112,0.106,0.121,0.111,0.096,7.788,273,36,-3,5,88,-126.0
118,2018/01/25,11:53:47.9,-18.33,-69.31,10.0,C201801251153A,23,-1.760,-1.920,3.670,0.237,-2.370,-0.312,0.271,0.135,0.212,0.204,0.325,0.102,3.623,189,25,-73,351,66,-98.0
119,2018/01/25,16:39:43.5,40.46,-126.33,8.9,C201801251639A,24,-0.484,-0.165,0.649,0.967,2.770,-6.190,0.043,0.045,0.044,0.136,0.135,0.035,6.870,274,66,-172,180,83,-24.0
120,2018/01/25,17:24:34.2,40.42,-126.39,10.9,C201801251724A,23,0.190,-0.261,0.071,-1.360,1.820,-6.450,0.175,0.158,0.130,0.284,0.274,0.137,6.827,269,75,169,2,79,15.0
121,2018/01/25,23:55:14.9,55.73,-149.72,10.0,C201801252355A,23,-0.033,-5.360,5.390,0.252,-1.480,0.808,0.128,0.129,0.128,0.224,0.223,0.101,5.630,230,77,7,139,83,167.0
